SWW240+1.p,0.0663321018219,6472
ANA044-1.p,0.06627202034,11809
GEO231+3.p,0.010281085968,276
SWC182+1.p,0.0190229415894,873
ALG098+1.p,0.0179479122162,1311
SWC339-1.p,0.00577116012573,1088
NLP005-1.p,0.00560998916626,294
SWW430-1.p,0.00569605827332,145
SEU426+2.p,0.61669588089,36452
SEU132+2.p,0.00995993614197,240
SWW475+2.p,0.0659158229828,3671
GEO264+1.p,0.0106492042542,255
SWC054+1.p,0.0180530548096,879
SEU410+4.p,15.5492491722,852951
SEU034+1.p,0.00990891456604,276
GEO171+1.p,0.00616407394409,141
RNG035-7.p,0.00574493408203,96
CSR114+11.p,0.117271900177,31659
COL082-1.p,0.006108045578,83
CSR108+3.p,7.34785103798,556069
SYN404+1.p,0.00586009025574,33
SWC152+1.p,0.0198290348053,892
CAT033+1.p,0.0102651119232,346
SEU309+1.p,0.0101189613342,442
GEO046-2.p,0.0052170753479,187
HEN013-3.p,0.00469517707825,82
SYN756-1.p,0.00599408149719,433
SWV737-1.p,0.0178389549255,2736
LCL098-1.p,0.00656700134277,42
CSR116+19.p,0.116245985031,31632
SWB057+1.p,0.0661551952362,3731
KRS154+1.p,0.0182719230652,1112
SYN874-1.p,0.0179569721222,1175
LCL661+1.015.p,0.0342919826508,1034
SET762+4.p,0.018718957901,329
SYN308-1.p,0.00594401359558,42
LAT033-1.p,0.00473809242249,51
SWC220+1.p,0.0175061225891,891
NUM613+3.p,0.169679880142,1118
LAT144-1.p,0.0061399936676,85
SET143-6.p,0.0100629329681,718
LCL807-1.p,0.0116729736328,1134
SET363-6.p,0.00717091560364,720
SYN432+1.p,0.00672197341919,353
GEO136-1.p,0.00690603256226,694
SYN171-1.p,0.00682616233826,1852
KLE084+1.p,0.00539398193359,165
SWV878-1.p,0.0209970474243,3747
SWW258+1.p,0.0666718482971,6534
ANA031-2.p,0.0068781375885,72
SYN552-1.p,0.00347185134888,34
RNG020-6.p,0.00571703910828,113
SWV050+1.p,0.0178868770599,565
NLP099-1.p,0.00639796257019,284
SET148-6.p,0.00962805747986,718
LCL546+1.p,0.0100610256195,543
FLD089-3.p,0.0055890083313,197
GRP624+4.p,6.04158711433,388439
ROB007-3.p,0.00641107559204,125
SEU042+1.p,0.00759291648865,255
LCL218-3.p,0.00831985473633,88
CSR043+5.p,23.9316368103,2632862
NUM563+1.p,0.0181407928467,623
LAT370+3.p,3.12598514557,221745
